,text,cmp_code
599,- Efficient use of fossil fuels.,501
600,The use of coal and gas cannot be dispensed with in the foreseeable future.,408
601,We will ensure that the German and European climate protection targets are achieved,501
602,"and, at the same time, that German and European energy companies are given long-term planning security.",408
603,"Emissions trading is the central instrument for enabling new investments in state-of-the-art, efficient fossil-fuel power plants.",411
604,"We will adapt the licensing law to replace old inefficient coal and gas-fired power plants with new, more efficient power plants",501
605,and to ensure a decentralized flexible energy supply.,408
606,We intend to further develop carbon capture technology in Germany - including through European Union-funded demonstration projects.,411
607,"Reuse is to take precedence over final disposal, and companies must ensure the long-term safety of storage facilities based on the highest environmental standards.",501
608,Cogeneration is the most efficient form of energy production.,501
609,We will massively expand it to at least a 25 percent share of total electricity supply by 2020.,501
610,"For new power plants, we will give priority to environmentally friendly cogeneration.",501
611,We will ensure that citizens are fully involved in the approval process.,202
612,- The future of hard coal.,408
613,German coal mining has made a major contribution to the country's development and prosperity.,408
614,It has since been reduced to a low pedestal.,408
615,But it is sustainable.,408
616,"We therefore want the review clause for the German coal industry to be made effective in good time before 2012, thus preventing the de facto phasing out of hard coal mining.",408
617,- Energy research of the future.,411
618,We will expand energy research.,411
619,"As part of the 6th Energy Research Program, we will focus on energy efficiency, renewable energies and storage technologies.",411
620,Transport and mobility,411
621,- Mobility must remain affordable.,411
622,Mobility enables personal development and social participation.,411
623,"It is a prerequisite for participation in working life, education, culture and social life as a whole.",411
624,Mobility must therefore not become a luxury good.,411
625,"At the same time, transport policy also makes an important contribution when it comes to achieving our climate protection targets.",501
626,The fundamental goal of our modern transportation policy is to make socially and economically necessary mobility environmentally friendly and affordable.,411
627,- Modern infrastructure.,411
628,Mobility is also a lead market.,411
629,A well-developed transport system is an essential prerequisite for growth and employment.,410
630,Germany is the most important logistics location in Europe.,411
631,Investments in our infrastructure are therefore investments in our future.,411
632,We will continue them at a high level in the future.,411
633,"We place a particular focus on the expansion of environmentally friendly modes of transport, especially rail.",411
634,We will eliminate bottlenecks in road traffic with targeted investments.,411
635,"At the same time, we will press ahead with noise abatement.",501
636,- Optimal use of existing traffic routes.,411
637,We invest in modern traffic control technologies.,411
638,"By 2015, all highly congested highway routes are to be fully equipped with modern traffic control and traffic management systems to make better use of existing capacity on our highways and avoid congestion.",411
639,We will accelerate the introduction of the standardized European Train Control System (ETCS) to make rail more competitive in cross-border traffic. -,411
640,New technologies promote a move away from oil.,411
641,"To secure mobility in the long term, we need a technological leap forward in innovation.",411
642,The car will continue to play a central role in the future.,411
643,"On the one hand, efficiency in the use of fossil fuels must be further increased, e.g. through hybrid technologies.",411
644,"With a ""National Electromobility Development Plan,"" we want to drive forward the market launch of battery-electric drive technologies.",411
645,"At the same time, we are continuing our efforts to launch hydrogen and fuel cell technology on the market as part of the Clean Energy Partnership.",411
646,"Germany is to become a pioneer when it comes to ""getting away from oil"".",501
647,- For a strong and citizen-friendly railroad.,411
648,We want to shift more traffic from road to rail.,411
649,"In order to further increase the attractiveness of rail transport, we are focusing on an efficient rail network, attractive, barrier-free stations, good frequency of the various services and a customer-friendly, easy-to-understand fare system.",411
650,"The railroads must be strong, competitive and customer-friendly.",411
651,We reject the idea of breaking up Deutsche Bahn AG.,408
652,Deutsche Bahn is to remain an integrated group in the future.,408
653,We will ensure adequate funding for the railroads in the coming legislative period.,411
654,"That is why capital privatization does not take place, even partially.",413
655,- Safe and environmentally friendly mobility.,501
656,"We want to make urban transportation safer, more environmentally friendly and more socially responsible by introducing new technologies and expanding public transportation.",411
657,"We will treat public transport, cycling and pedestrians equally in our communities, making mobility safer for all.",411
658,- Fair distance allowance.,503
659,"We want to implement greater consideration of social and environmental aspects in the commuting allowance with the aim of ensuring that all commuters are treated equally and receive the same reimbursement per kilometer, regardless of income.",501
660,3. secure good work,NA
661,Work is the foundation of our prosperity.,408
662,We are the party of labor.,305
663,We have principles that correspond to the central importance of work:,408
664,- Those who work hard must get something out of it.,401
665,Performance must be rewarded this demand is right for all employees.,401
666,- Those who make an effort must be able to use it to improve their lives and must not face insurmountable hurdles.,401
667,Our society's promise of advancement holds true.,401
668,- No one must be left by the wayside.,503
669,We stand up for each other in solidarity and help those who cannot make a living with work alone.,503
670,We Social Democrats want everyone to have a job.,408
671,That's why we've improved job placement.,303
672,But good job placement also needs a growing economy and demand for labor.,410
673,We want to help make more jobs available.,408
674,There are two scenarios for the labor market of the new decade: Either we have sufficient skilled workers and low unemployment.,408
675,"Or we complain about a shortage of skilled workers and, at the same time, high unemployment figures.",408
676,The development can be shaped by us.,408
677,We want a completed vocational training or high school diploma for everyone.,411
678,Our goal remains full employment.,408
679,Our goal is Good Work.,701
680,"It must be fairly paid,",701
681,"must not make you ill,",701
682,must provide opportunities for further training,411
683,and family-friendly.,603
684,What we want: Defending and strengthening workers' rights,NA
685,- Preservation of employee rights.,701
686,Employees have social rights.,701
687,This is fundamental to a social market economy.,403
688,Protection against termination,701
689,and the right to elect works councils are indispensable employee rights for the SPD.,202
690,We protect these rights.,701
691,We need strong trade unions.,701
692,- Temporary employment: We will provide better legal protection for temporary employment relationships.,701
693,"In addition to a wage floor, this also includes strengthening the principle of ""equal pay for equal work"".",701
694,"After an appropriate training period in the same company, the principle of ""equal pay"" shall apply without restriction.",701
695,We want to limit intragroup lending.,701
696,- Internships must not become a dead end.,701
697,That is why we want better legal protection for interns against exploitation as cheap or even free labor.,701
698,- Employee data protection.,201
699,Numerous attacks in recent years have made it clear that we need our own employee data protection law that safeguards the rights of employees.,701
700,Such a project serves to bundle previously scattered regulations and to supplement them where new technologies create a need.,303
701,- Whistleblower protection.,201
702,"Employees are often the only ones who perceive violations of the law in the company, which may even pose risks to third parties.",701
703,We therefore want employees to be protected from employer sanctions if they point out grievances.,701
704,- Labor Contract Code.,303
705,We consider a Labor Contract Code to be welcome if it is drafted by consensus of the social partners,405
706,and completely and comprehensibly bundles the existing regulations without reducing employee rights.,701
707,- Protection of employees in the event of insolvency.,701
708,The economic crisis will continue to lead to an increase in corporate insolvencies in 2010.,408
709,We must therefore protect employees in insolvency proceedings as much as possible.,701
710,"It must be made clear by law that, in the event of insolvency, wages for work already performed may not be improperly withdrawn.",701
711,Fair wages and income,701
712,- Ensure collective bargaining autonomy and compliance.,701
713,We will defend the autonomy of collective bargaining in Germany and Europe.,701
714,It is a foundation for good work.,701
715,We want tariff compliance to become a central criterion in the awarding of public contracts.,701
716,And we support initiatives against social dumping in the European and international arena.,701
717,Good work must not be jeopardized by a globalizing labor market.,701
718,- Minimum wages.,701
719,"In the grand coalition, against the reluctance of the CDU/CSU, we pushed through an expansion of the Employee Posting Act and a revision of the Minimum Working Conditions Act to protect more sectors against dumping wages.",701
720,We are consistently pursuing this path.,701
721,We will enable generally binding collectively agreed minimum wages in as many sectors as possible.,701
722,And we will promote minimum working conditions wherever the social partners are no longer able to do so on their own.,701
723,Our goal is a general statutory minimum wage that marks a lowest limit below which wages may not fall.,701
724,A minimum wage commission is to set it.,701
725,We assume that a minimum wage of 7.50 euros is currently a sensible benchmark.,701
726,- Bonus for work.,701
727,We want to tackle a fundamental reorganization of the lower income bracket.,701
728,A statutory minimum wage will play the central role in this.,701
729,Taxes and social security contributions are coordinated with other government transfer payments in such a way as to strengthen full-time work that provides a living wage and is subject to social security contributions.,503
730,"We want to structure income supplements in such a way that no one, because he or she has children, slips into basic security for jobseekers.",503
731,"To this end, we want to further develop the child allowance in conjunction with the housing allowance in order to support working parents.",603
732,We want to create a right to choose between child allowance and housing benefit on the one hand and basic income support on the other.,503
733,- Strengthen employment subject to social security contributions.,701
734,We want to curb the expansion of insecure employment.,701
735,Good work means that employment subject to social security contributions is the rule.,701
736,We want to reintroduce the limit of 15 hours per week for so-called mini-jobs.,701
737,Equal opportunities equal pay for work of equal value,NA
738,- Equal wages.,503
739,Fair wages are unfortunately also still a question of gender.,503
740,We will ensure that the wage gap between men and women closes.,503
741,The minimum wage helps because many women still work in structurally low-paying fields.,503
742,We also want to set up an office that can initiate wage measurements at companies.,503
743,"At the same time, works councils are to be given the right to demand a statistical diagnosis from the employer as to whether wages in the company are fair.",701
744,"In addition, we want to anchor in the General Equal Treatment Act the possibility of the works council cooperating with this body.",503
745,This effectively extends the individual rights of the women concerned that already exist today in the event of a violation of the prohibition of discrimination.,706
746,"In addition, when awarding public contracts, only companies that treat women and men equally in terms of pay should be considered.",503
747,- More women in management and supervisory positions.,706
748,We will use binding regulations to ensure that women and men have equal opportunities for advancement in companies,503
749,and that the proportion of women in management positions is significantly increased.,706
750,"Following foreign examples, we want to introduce a 40 percent quota for women on the supervisory boards of companies.",706
751,- Advice on choosing a career and field of study.,706
752,We want to break down the gendered choice of careers and fields of study.,706
753,"This requires close cooperation between schools, vocational and academic counseling, and parents' homes.",706
754,- Part-time employment out of the impasse.,701
755,"With the Part-Time and Fixed-Term Employment Act, we have a legal entitlement to part-time employment",701
756,and opportunities to participate in vocational training.,411
757,"Nevertheless, the qualification and career opportunities of part-time employees are often still inadequate and the pay is not livelihood-securing.",701
758,Women are particularly affected.,706
759,We will take measures to improve the legal conditions for (re-)starting full-time employment,701
760,and offer more opportunities to participate in vocational qualification.,411
761,Training and opportunity for career advancement,NA
762,- Right to catch up on schooling for all.,506
763,"We will not tolerate up to 80,000 students leaving school each year without a diploma.",506
764,Each and everyone gets a second or third chance.,506
765,That is why we want the right to be able to catch up on school at any time with support.,506
766,We will ensure that students are prepared for vocational training with timely career guidance and career entry support while still at school.,506
767,- Strong dual system.,411
768,We will strengthen the dual system and modernize apprenticeships.,411
769,We want more training opportunities that combine in-company training with academic studies.,411
770,- Vocational training for all.,411
771,Vocational training is still the most important basis for starting a career.,411
772,"Even if we manage to get 40 percent of a year's intake into higher education, 60 percent will still be looking for traditional vocational training.",411
773,"Against this backdrop, we will continue to develop the training pact and aim to further increase the training place commitments of industry.",411
774,We provide apprenticeships for the less qualified applicants as well.,411
775,"With the apprenticeship bonus, we also help those who have been looking in vain for an apprenticeship for some time.",705
776,We want to give works councils the right of co-determination to push through more training places in their companies.,701
777,We want a vocational training guarantee for all those who are older than 20 and have neither a vocational qualification nor a high school diploma.,705
778,They should be given a chance in extra-company training programs where they can qualify in occupations with labor demand.,705
779,"In addition, we will enable young workers without training to catch up on their training in their company, if possible without loss of income.",701
780,We want to reorganize the transition from school to working life and turn waiting loops into clear paths from school to training.,411
781,- Easier access to higher education.,506
782,We want a permeable education system.,506
783,That is why we want to create the opportunity for vocational school students to also obtain a technical college entrance qualification.,506
784,"In addition, we want to increase the opportunities for integrated university studies and vocational training.",506
785,"In addition, we want to specifically open up access to colleges and universities for technicians, master craftsmen and other professionals with training.",506
786,"To this end, it should also be possible to receive BAföG after the age of 30.",506
787,- Securing the demand for skilled workers.,411
788,We want further education with a system and legal entitlements.,411
789,"At 43 percent, participation in continuing education in Germany is too low.",411
790,We want to increase this to at least half by 2015.,411
791,Low-skilled workers in particular should be able to participate more in continuing education.,705
792,"We want to keep the labor market open for foreign academics, graduates of German schools abroad and foreign students.",408
793,"We will also work hard to improve the qualifications of migrants, including language support and recognition of their foreign qualifications.",607
794,We want a recognition law on the basis of which everyone knows after six months at the latest which of their degrees acquired abroad will also be recognized in our country.,705
795,Employment insurance and lifetime work account,NA
796,- The long-term account a new model of work.,701
797,Employees want to be in control of their time.,701
798,We are creating the legal means to do this.,701
799,We have laid the foundations for this with insolvency protection and the transferability of credit balances from long-term accounts.,701
800,"We want employees to be able to save up credit balances and withdraw them flexibly over the course of their working lives for further training, raising children or caring for dependents.",701
801,These aspects can be regulated by the collective bargaining partners through industry-specific working time accounts.,405
802,"Together with the already established rights to part-time work in general and to part-time work when raising children, we enable a flexible approach to working time that is appropriate for every phase of life.",701
803,"From this, a new model of work can develop that combines flexibility and security requirements.",701
804,- Unemployment insurance becomes labor insurance.,701
805,"We want to develop unemployment insurance into an employment insurance system that not only ends unemployment quickly, but helps prevent it.",504
806,"To this end, we will establish a legal right to a free review of individual qualification needs for every employee nationwide.",701
807,This offer is to be provided close to home by the employment agency in cooperation with regional continuing education networks.,504
808,This qualification consulting can also be used by self-employed persons.,504
809,"With the new employment insurance, we want to help make long-term accounts for continuing education more attractive in companies.",411
810,"A publicly funded portion is to be paid into each long-term account, but it can only be used for qualification purposes.",504
811,Placement in work,NA
812,- Best placement in work.,303
813,We want Germany to have the best employment service in the world.,303
814,Anyone who becomes unemployed needs to know that the best possible support and placement services are open to him or her.,701
815,Combating long-term unemployment remains a key task.,408
816,We will increase the number of employment mediators in times of economic crisis to ensure that the placement service for each individual remains at a high level precisely when personal support needs are greatest.,701
817,- On-site support.,303
818,We will create a successor regulation for the labor pools of the Federal Employment Agency and municipalities that conforms to the constitution as quickly as possible.,303
819,Collaboration of placement expertise and local knowledge has proven effective.,303
820,- Improve funding instruments.,303
821,We will continue to improve the toolbox of employment services.,303
822,"In particular, we want to better promote business start-ups from unemployment.",402
823,"We will also focus on the integration of immigrants, who need even better support in integrating into the labor market.",705
824,New prospects have been opened up for the long-term unemployed with particular placement obstacles.,705
825,The Kommunal-Kombi for regions with particularly entrenched long-term unemployment will be further expanded.,504
826,- Needs-based standard rates.,503
827,People in unemployment should not be allowed to slip into poverty.,503
828,"There will continue to be a regular review of the standard rates of unemployment benefit II and, if necessary, an increase in line with requirements.",504
829,- Schonvermögen.,401
830,Retirement planning is important.,401
831,Assets used for private pension provision are not counted towards unemployment benefit II.,503
832,The prerequisite is that a monthly pension is irrevocably guaranteed from the start of retirement.,303
833,For a new culture of work - people- and family-friendly work,NA
834,- Humane working conditions to maintain employability.,701
835,Work takes up a large part of one's life time.,701
836,Work must therefore be designed in such a way that it is in harmony with the life cycle of the individual.,701
837,Employees must have the opportunity to work until retirement.,701
838,A new culture of work is therefore necessary in human and economic terms.,701
839,We will increasingly promote modern working conditions:,701
840,Companies can learn from each other.,701
841,"Model projects with social partners, companies and research are to help develop and identify good solutions for specific sectors.",405
842,- Humane working hours.,701
843,Work must also be organized in a way that is compatible with health.,701
844,This is especially true for shift and weekend work.,701
845,"In cooperation with social partners, companies and research, model projects are to be further developed to enable older people to work longer in good health.",405
846,- Forward-looking personnel development planning.,701
847,Workforces in companies are getting older.,701
848,This is why forward-looking personnel development planning can improve both the skill level of the workforce and age- and age-appropriate working conditions.,701
849,- Occupational health management.,701
850,"In addition to the already existing tax deductibility of employer expenses for employees, consideration should be given to whether progress can be made in this area through support or grant schemes.",701
851,Workers' health literacy must be promoted.,701
852,- Vocational rehabilitation.,701
853,"We want to further modernize occupational rehabilitation and, in particular, strengthen occupational reintegration management and give rehabilitation priority over disability pensions as far as possible.",701
854,- Reconciling work and family life.,603
855,"In addition to the family policy initiatives, such as the expansion of daycare and the legal entitlement to a childcare place, which we have pushed through, we also want to press ahead with the expansion of company kindergartens.",603
856,"We must pay particular attention to those who are in the so-called ""rush hour of life"" and who, between the ages of 25 and 40, must simultaneously manage a professional career, start a family and possibly care for relatives.",603
857,"Therefore, an entitlement to part-time work must also be made possible on a temporary basis with a minimum duration of 2 years.",504
858,We want to introduce up to ten days of paid leave for unexpected care situations.,503
859,The development of an infrastructure for families close to home must be taken into account accordingly in social space planning.,603
860,- Time sovereignty.,701
861,Work is half the life.,701
862,We want employees to be able to manage their working hours in a more determined manner.,701
863,Flexibilization of working time can and should be an advantage for employees.,701
864,"This can be achieved through the targeted use of long-term accounts, which employees can use to save up time off.",701
865,"In addition, families must have time sovereignty,",603
866,"but also for voluntary work, culture, sports clubs, etc.",606
867,We want to create the necessary framework conditions to give works councils the right to take initiative.,701
868,and to give the collective bargaining parties more leeway in these matters.,405
869,Co-determination in companies and enterprises as a core element of the social market economy,NA
870,- Preservation and strengthening of the German co-determination model.,202
871,These times in particular show that entrepreneurs and employees can only overcome the crisis together.,405
872,That is why co-determination in Germany and Europe is and remains just as important a cornerstone of the social market economy as collective bargaining autonomy.,202
873,"And we will continue to ensure that the German co-determination model has a future in the European negotiations, for example on the Seat Relocation Directive and the European Private Company.",202
874,The possibility of forming European Works Councils is a good opportunity to further advance co-determination in Europe.,202
875,- Expansion of business subject to co-determination.,202
876,"In the area of corporate co-determination, a statutory minimum catalog of transactions requiring approval must be defined.",202
877,Hostile takeovers must no longer be a co-determination-free zone.,202
878,- Reduce codetermination-free zone.,202
879,"We want to put an end to the circumvention of co-determination through outsourcing to de facto controlled subsidiaries, through the choice of legal form (such as foundations and mutual insurance associations), and through foreign companies with administrative headquarters in Germany.",202
880,- Expand participation rights.,202
881,We have created the legal basis for works councils to enforce appropriate qualifications in the event of technical innovations.,701
882,"In the future, we also want to expand co-determination in general on issues relating to training and continuing education in the company.",202
883,Co-determination in the use of temporary work must be strengthened,202
884,and temporary workers must be taken into account in the thresholds under works constitution law.,701
885,"Works councils also need more rights when it comes to further training,",202
886,also to negotiate a social plan in the event of a transfer of operations.,202
887,And we want to strengthen the rights of works councils in promoting women in the workplace.,202
888,- Works council elections 2010 Initiative to establish works councils.,701
889,Only one in 17 companies with 5 to 50 employees has a works council.,701
890,"In many cases, a works council is desired by employees but blocked by the company.",701
891,The next SPD-led federal government will launch a campaign to establish works councils in the run-up to the 2010 works council elections.,701
892,We want the possibilities offered by the Works Constitution Act to be used as fully as possible.,701
893,4. education is a human right,NA
894,Education is a human right.,506
895,"Everyone has an equal right to a good education as a foundation for a fulfilling life and as a ticket to good, skilled work.",506
896,"This is true regardless of origin, regardless of the parents' income.",503
897,Education as a human right is the prerequisite for true equality of opportunity.,506
898,"As long as there are hurdles for disadvantaged people in our education system, opportunities will remain unfairly distributed.",506
899,Lifelong learning is irreplaceable for the personal development of every human being.,506
900,It provides orientation for finding one's way in an increasingly complex world and participating in social life.,506
901,"General, vocational, political and cultural education provides people with basic orientations and competencies.",506
902,This enables them to play an active role in shaping political and social change in our society.,506
903,"We advocate close cooperation between schools and adult education centers and other non-school educational institutions, as well as cultural institutions such as libraries, museums, theaters and cinemas.",506
904,The human right to education does not end with adulthood.,506
905,Those who didn't make it in the first attempt and want to try again deserve the right to a second and third chance.,506
906,"Education must always be possible throughout life, even after the working phase.",506
907,We are committed to education as a public good and see the state and politics as having a responsibility to organize more education for all from the beginning and throughout life.,506
908,We can only realize the human right to education together.,506
909,"Education is a community task, because the entire society benefits from the education of the individual.",506
910,Good education for all is a prerequisite for progress and the future prosperity of the country.,506
911,Teachers in all educational sectors achieve a great deal - their commitment deserves greater recognition.,506
912,"Together with parents, they lay the foundation of our future.",506
913,Children and parents do not ask which political level is responsible for their education.,303
914,"Children need qualified and motivated teachers, good teaching equipment and renovated classrooms.",506
915,"The necessary quality leap in education will only succeed if the federal, state and local governments act together and all links in the education chain interlock.",302
916,We want to create the conditions in the Basic Law for such cooperation to be possible.,302
917,What we want: We need a new consensus on education and common goals,NA
918,- All students need to graduate.,506
919,Our first and most important goal will be to drastically reduce the number of school dropouts.,506
920,"We no longer want to accept the fact that 80,000 students are left without a diploma every year.",506
921,"By means of clear target agreements, we want to achieve a reduction in this figure of at least 10 percent per year.",506
922,- More money for education.,506
923,Education must be worth more to our society.,506
924,"Our goal: by 2015, at least 7 percent of GDP for education",506
925,and 3 percent for research and development.,411
926,We pushed through this goal at the 2008 Education Summit.,506
927,- Solidarity contribution for education.,506
928,"Especially in times of crisis, it is essential that we invest enough money in education to emerge stronger from the crisis.",506
929,And it is precisely in the crisis that it is important to distribute these costs fairly.,503
930,That is why we will introduce an education surcharge on very high incomes.,503
931,- Education and occupation.,411
932,We will need more well-qualified specialists in the future.,411
933,Our goal is for all young people to have a vocational qualification or high school diploma.,411
934,"We want to strengthen the dual system and give more employees regular access to continuing vocational training (see chapter entitled ""Securing good jobs"").",411
935,- Integration.,705
936,Community and a sense of belonging come from shared education and upbringing.,503
937,"Exclusion is not a solution - this applies to children with disabilities, those with learning difficulties, and those who receive inadequate support at home.",705
938,- End the discrimination of immigrant children.,705
939,Germany is a country of immigration.,607
940,A quarter of all children have at least one parent who immigrated from another country.,607
941,Many of these children are still at a significant disadvantage in our education system.,503
942,"They too have a right to equal educational opportunities, to recognition of their special abilities such as multilingualism and their cultural experiences.",607
943,Strong education funding for more equity in education,NA
944,- BAföG: Tradition obliges.,506
945,Social democracy introduced BAföG at the beginning of the 1970s because it is an important condition for equal opportunities in education.,503
946,We are building on this tradition.,506
947,- BAföG for students.,506
948,Pupils from low-income families are to receive financial support on their way to the Abitur from the time they enter the gymnasiale Oberstufe.,503
949,- BAföG for students.,506
950,We will expand the student BAföG so that studying is also possible in later phases of the working life.,506
951,This includes the fact that part-time courses of study and master's courses of study leading to further education can also be funded.,506
952,This also includes raising the age limit for receiving BAföG.,506
953,- Meister-BAföG.,411
954,We will combine the rules of the Meister-BAföG and the BAföG in an adult continuing education act.,411
955,- BAföG must be enough to live on.,504
956,That is why we will regularly adjust it to the cost of living.,504
957,Good education for all from the start,NA
958,- Care from one.,504
959,We have ensured that from 2013 there will be a legal right to care for every child from their first birthday.,504
960,We want to make this a right to all-day care.,504
961,- Better quality and freedom from fees.,504
962,"Improving the quality of early childhood education is at the forefront of all our efforts, because it's all about the individual child.",506
963,"We need a better staffing ratio in crèches, day care centers and in day care, which is regulated uniformly throughout Germany in SGB VIII.",504
964,"In further steps, the aim is to achieve complete freedom from charges.",504
965,The federal government will contribute to the funds required for this.,303
966,"We expect the states to do the same, insofar as this is not yet being done adequately.",303
967,- Upgrading educational work.,701
968,"Educators do important work, they bear great responsibility.",701
969,The SPD will therefore ensure better training and continuing education for educators and,411
970,thus improve the conditions for more appropriate pay.,701
971,- Binding cooperation between daycare centers and schools.,506
972,We want all children to start school with good opportunities.,503
973,That is why we want to strengthen school preparation in the daycare center.,506
974,Mandatory language support must be a focus of preschool education so that all children enter first grade well prepared.,506
975,"Learning together, supporting all children, leaving no child behind",NA
976,- More permeability.,503
977,"Our goal is a socially just, high-performing and permeable school system that leaves no child or young person behind.",503
978,We want students to be able to learn together for longer.,506
979,We will combine this with better individual support.,506
980,The SPD will continue to push for the expansion of integrative forms of schooling.,506
981,"In the long term, we want to overcome the segregated school system.",506
982,- Expand all-day schools.,506
983,"With the all-day school program, we in the red-green government have achieved a breakthrough in education policy.",506
984,Our goal is to expand the range of all-day schools nationwide.,506
985,All children should be able to participate in a healthy lunch in both all-day schools and daycare centers.,504
986,- Social work at every school with a need.,506
987,Schools that provide special integration services must receive more support.,506
988,Each special needs school shall have at least one school social worker.,506
989,- Inclusive education.,705
990,"We will advocate that, as far as possible, all children with disabilities attend school together with children without disabilities.",705
991,- Vocational orientation at all schools.,411
992,We want to firmly anchor work and career orientation in schools.,411
993,"Together with comprehensive counseling and career preparation, it should be a mandatory offering in all general education schools.",411
994,"To achieve this, schools and companies must be better integrated.",411
995,Open universities,NA
996,- No tuition.,506
997,A course of study must not fail because of money.,503
998,We stand for tuition-free undergraduate studies up to and including the master's degree.,506
999,- Money follows students.,506
1000,The state remains responsible for the universities.,506
1001,We will establish an equitable distribution of burdens,503
1002,"and shift higher education funding to a competitive incentive system based on the principle that ""money follows students.",506
1003,"In this way, we want to achieve positive competition among the states for those willing to study.",506
1004,- More study places.,506
1005,We remain committed to the goal of increasing the number of study places.,506
1006,We will implement the Higher Education Pact in a consistent and verifiable manner.,303
1007,- Good teaching and counseling.,506
1008,"In addition to the quantitative expansion of study places, we also set ourselves the goal of improving teaching at universities.",506
1009,The SPD demands that the increased need for student counseling as a result of the study structure reform be safeguarded,506
1010,and that universities be adequately equipped to help students achieve their study goals.,506
1011,- Facilitate access.,506
1012,We want more skilled workers to be able to study without a high school diploma and will further open up access to universities for this group of people.,506
1013,"For us, qualified vocational training is on a par with a general education qualification. -",506
1014,Regulating admission centrally.,302
1015,We will regulate university admissions on a nationwide basis.,302
1016,All universities must be involved in the central service procedure.,302
1017,"In this way, all capacities can be utilized and students can study according to their inclination.",303
1018,- Teaching social responsibility.,606
1019,Universities must not only be places of knowledge transfer.,606
1020,"We are committed to ensuring that not only content is passed on there, but that the sense of social responsibility is strengthened.",606
1021,- Democratic university.,202
1022,"We stand for strong, open and democratic universities.",202
1023,We stand by university autonomy and university self-government.,202
1024,We want to strengthen democracy within the university:,202
1025,All status groups must be fairly involved in decisions and committees.,202
1026,- More women in leadership positions.,503
1027,We want more women to take up leadership positions in universities and research institutions.,706
1028,That is why we will conclude concrete target agreements with financial sanction options in the event of non-compliance.,503
1029,- Women professors program.,706
1030,We want to increase the proportion of women among scientific staff to 40 percent by 2020.,706
1031,"To this end, we are planning a program for female professors and an investment program for daycare centers and crèches at universities.",503
1032,Science Policy,NA
1033,- Continue Excellence Initiative.,506
1034,The Excellence Initiative is a social democratic success project that has significantly enhanced Germany's standing as a center of science and research.,506
1035,We will continue it beyond 2011.,506
1036,- International science location.,411
1037,We want to further develop the internationalization of teaching and research so that more top researchers from abroad come to us and stay in our country.,411
1038,Immigration law and earning opportunities are key factors in this.,411
1039,We have to shape it in such a way that the best minds come and do their work with us.,411
1040,Courses of study and degrees must be internationally comparable.,506
1041,- Promote young scientists.,506
1042,We want to sustainably expand the junior professorship.,506
1043,We will launch a support program for mid-level academics as well as attractive recruitment and retrieval programs.,506
1044,- Facilitate scientific cooperation.,411
1045,"In order to facilitate the formation of clusters and research networks, we want to simplify the integration of universities and research institutions and make scientific structures more flexible.",411
1046,"- Better support for research institutions,",411
1047,We will continue and further develop the Pact for Research.,411
1048,5. an effective state financed on the basis of solidarity,NA
1049,"To enable important investments, especially in education, families, research, infrastructure, culture or security, the state depends on solid and stable revenues.",503
1050,Social democrats in government stand for a fair distribution of the overall tax burden according to performance.,503
1051,"For us, this means that strong shoulders have to carry more than weak ones.",503
1052,Because they can carry more than weak.,503
1053,Our tax policy follows the principle of combining economic dynamism with social justice.,503
1054,We have made important progress in the area of corporate taxation.,403
1055,We will resolutely oppose any further tax-cutting race.,403
1056,"We want to continue to put a stop to profit shifting, tax structuring and excessive debt financing by global corporations.",403
1057,Those who earn their profits in Germany should pay their taxes in this country.,403
1058,Those who do not do this harm everyone who has to finance the services of the state with their taxes.,403
1059,That is why we fight international tax fraud,605
1060,and harmful tax competition.,403
1061,"Those who enjoy advantages due to high incomes and assets must make a greater solidarity contribution, especially to the financing of childcare and education.",503
1062,It is socially just and economically sensible for wealthy people to make a tax contribution to the financing of the community that is commensurate with their ability to pay.,503
1063,What we want: Introduce wage tax bonus,NA
1064,- Consistent simplification.,303
1065,We want millions of taxpayers to no longer have to bother with their tax returns.,303
1066,- 300 euros income tax bonus.,303
1067,We are offering all 30 million wage taxpayers the opportunity to waive their annual income tax return in the future by sending a postcard to the tax office.,303
1068,"To make it worthwhile for taxpayers, married couples receive an income tax bonus of 600 euros per year and singles 300 euros.",303
1069,The bonus relieves the burden on everyone who wants to use it and simplifies the tax process.,303
1070,- Millions of taxpayers benefit.,503
1071,The offer is aimed at all 30 million payroll taxpayers and will be worthwhile for many.,503
1072,"Two million employees alone do not currently file a wage tax return because they are afraid of the effort involved, because they do not expect a refund or because the tax law is simply too complicated for them.",503
1073,"In addition, there are all those who only expect a small refund or would like to save themselves the effort of preparing an income tax return in the future.",503
1074,- Maximum transparency and simplification.,303
1075,"Wage tax is determined in accordance with the applicable law, i.e. also taking into account the employee lump sum or the relief amount for single parents.",303
1076,The employer collects them as before.,303
1077,"When it is paid in full, in future there will be the alternative of a postcard to the tax office instead of the time-consuming ""income tax assessment procedure"".",303
1078,- Predictable and fair.,503
1079,Everyone who accepts the offer knows immediately how much his relief will be.,303
1080,"This option is particularly attractive for low-income employees, as the wage tax bonus compensates for the social security burdens in the (almost tax-free) low-wage range.",503
1081,- The tax offices also benefit.,303
1082,"The tax offices will be significantly relieved, because less work will be done there.",303
1083,This frees up capacities that we can use for consistent prosecution of tax evasion.,605
1084,- Only made possible by the final withholding tax.,303
1085,"As a result of the final withholding tax, capital gains are already taxed at the source.",303
